"time","ab"
2017-02-16,10840.0097089256
2017-02-17,11400.5161681851
2017-02-18,11985.7843939023
2017-02-19,12595.3574787145
2017-02-20,13228.7399853814
2017-02-21,13885.4008853226
2017-02-22,14564.7753719873
2017-02-23,15266.2654641953
2017-02-24,15989.2393424439
2017-02-25,16733.0293914742
2017-02-26,17496.9289561216
2017-02-27,18280.1878554708
2017-02-28,19082.0067432135
2017-03-01,19901.5304499752
2017-03-02,20737.8404957828
2017-03-03,21589.9470164833
2017-03-04,22456.7804046779
2017-03-05,23337.1830204786
2017-03-06,24229.9013762033
2017-03-07,25133.5792372943
2017-03-08,26046.7521042655
2017-03-09,26967.8435423155
2017-03-10,27895.1638020785
2017-03-11,28826.9111236633
2017-03-12,29761.1760355026
2017-03-13,30695.9488507558
2017-03-14,31629.1304311106
2017-03-15,32558.5461374996
2017-03-16,33481.9627287832
2017-03-17,34397.1078137685
2017-03-18,35301.6913208775
2017-03-19,36193.4283345768
2017-03-20,37070.0625679805
2017-03-21,37929.3897035332
2017-03-22,38769.2798414865
2017-03-23,39587.6983480356
2017-03-24,40382.7244866874
2017-03-25,41152.5673395665
2017-03-26,41895.5786695946
2017-03-27,42610.262528309
2017-03-28,43295.2815662644
2017-03-29,43949.4601434069
2017-03-30,44571.7844575853
2017-03-31,45161.4000050393
2017-04-01,45717.6067546022
2017-04-02,46239.8524572321
2017-04-03,46727.7245262962
2017-04-04,47180.9409151682
2017-04-05,47599.3403916103
2017-04-06,47982.8725678381
2017-04-07,48331.5879958582
2017-04-08,48645.6285838407
2017-04-09,48925.2185345935
2017-04-10,49170.6559544086
2017-04-11,49382.3052317369
2017-04-12,49560.5902415693
2017-04-13,49705.9883937662
2017-04-14,49819.0255120208
2017-04-15,49900.2715044869
2017-04-16,49950.3367668854
2017-04-17,49969.8692435567
2017-04-18,49959.5520608217
2017-04-19,49920.1016395559
2017-04-20,49852.2661895484
2017-04-21,49756.8244865891
2017-04-22,49634.5848340106
2017-04-23,49486.3841134086
2017-04-24,49313.0868343951
2017-04-25,49115.5841004702
2017-04-26,48894.7924174461
2017-04-27,48651.6522823034
2017-04-28,48387.1265038314
2017-04-29,48102.1982217259
2017-04-30,47797.8686076432
2017-05-01,47475.1542495472
2017-05-02,47135.0842388553
2017-05-03,46778.6969975574
2017-05-04,46407.0368987223
2017-05-05,46021.1507476526
2017-05-06,45622.0842014939
2017-05-07,45210.8782116296
2017-05-08,44788.5655751686
2017-05-09,44356.1676791495
2017-05-10,43914.6915138916
2017-05-11,43465.1270208161
2017-05-12,43008.4448258902
2017-05-13,42545.5943937225
2017-05-14,42077.5026204506
2017-05-15,41605.072867122
2017-05-16,41129.1844203079
2017-05-17,40650.6923540573
2017-05-18,40170.4277575042
2017-05-19,39689.1982857188
2017-05-20,39207.7889876471
2017-05-21,38726.9633638941
2017-05-22,38247.4646081413
2017-05-23,37770.0169885477
2017-05-24,37295.3273289099
2017-05-25,36824.0865530575
2017-05-26,36356.9712594115
2017-05-27,35894.6452954657
2017-05-28,35437.7613039019
2017-05-29,34986.9622130199
2017-05-30,34542.8826441637
2017-05-31,34106.1502079986
2017-06-01,33677.3866600322
2017-06-02,33257.2088839784
2017-06-03,32846.2296697331
2017-06-04,32445.0582512279
2017-06-05,32054.3005685637
2017-06-06,31674.5592189749
2017-06-07,31306.4330625843
2017-06-08,30950.5164518923
2017-06-09,30607.3980586542
2017-06-10,30277.6592784113
2017-06-11,29961.8722014568
2017-06-12,29660.5971494235
2017-06-13,29374.3797887681
2017-06-14,29103.7478459479
2017-06-15,28849.2074636022
2017-06-16,28611.2392520544
2017-06-17,28390.2941052994
2017-06-18,28186.7888646293
2017-06-19,28001.1019254055
2017-06-20,27833.5688924604
2017-06-21,27684.4783964531
2017-06-22,27554.0681866182
2017-06-23,27442.5216142334
2017-06-24,27349.9646155308
2017-06-25,27276.4632926451
2017-06-26,27222.0221767455
